VIOLATIONCODE,VIOLATIONDESC,,,,
01A,"Current valid permit, registration or other authorization to operate establishment not available.  ",,,,
01A,"Current valid permit, registration or other authorization to operate establishment not available.  Violations points are not assessed for Smoke Free Air Act, trans fat, calorie posting or permit and poster violations.",,,,
01B,"Current valid permit, registration or other authorization to operate Temporary Food Service Establishment is not available.",,,,
01B,"Document issued by the Board, Commissioner or Department unlawfully reproduced or altered.",,,,
01C,Food Protection Certificate not held by supervisor of food operations.,,,,
01C,"Notice of the Department or Board mutilated, obstructed, or removed.",,,,
01D,Current valid food vendor license not available.,,,,
01D,"Failure to comply with an Order of the Board, Commissioner or Department.",,,,
01E,"Document issued by the Board, Commissioner or Department unlawfully reproduced or altered.",,,,
01E,Duties of an officer of the Department interfered with or obstructed.,,,,
01F,"Notice of the Department or Board mutilated, obstructed, or removed.",,,,
01F,Failure to report occurrences of suspected food borne illness to the Department.,,,,
01G,"Failure to comply with an Order of the Board, Commissioner or Department.",,,,
01H,Duties of an officer of the Department interfered with or obstructed.,,,,
01I,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,,,
02A,Food not cooked to required minimum temperature.,,,,
02B,Hot food not held at or above 140° F.,,,,
02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165°F or above within 2 hours.,,,,
02D,"Precooked potentially hazardous food from commercial food processing establishment that is to be heated, is not heated to 140°F within 2 hours.",,,,
02E,"Whole frozen poultry or poultry breasts, other than a single portion, are being cooked frozen or partially thawed.",,,,
02F,"Meat, fish or molluscan shellfish served raw or undercooked without prior notification to customer.",,,,
02G,Cold food held above 41°F (smoked fish above 38°F) except during necessary preparation.,,,,
02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140°F to 70°F or less within 2 hours and from 70°F to 45°F or less within 4 additional hours.,,,,
02I,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.,,,,
02I,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.,,,,
02J,Reduced oxygen packaged (ROP) foods not cooled by an approved method whereby the internal food temperature is reduced to 38º F within two hours of cooking and if necessary further cooled to a temperature of 34º F within six hours of reaching 38º F.,,,,
03A,"Food from unapproved or unknown source, spoiled, adulterated, or home canned.",,,,
03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,,,,
03B,Food not cooled by an approved method whereby the internal product temperature is reduced from 140°F to 70°F or less within 2 hours and from 70°F to 45°F or less within 4 additional hours.,,,,
03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",,,,
03C,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.,,,,
03C,"Eggs found dirty, cracked; liquid, frozen or powdered eggs not pasteurized.",,,,
